from	to	amount
AUS	ARG	546119312
AUS	AUT	50390245
AUS	BEL	1747193815
AUS	BRA	1826202867
AUS	CAN	1348411944
AUS	CHE	1692342714
AUS	CHL	709274691
AUS	CHN	102528007283
AUS	COL	22606880
AUS	CRI	2405099
AUS	CZE	75569980
AUS	DEU	2719143318
AUS	DNK	97615281
AUS	ESP	878831563
AUS	EST	4872830
AUS	FIN	466271888
AUS	FRA	2073344319
AUS	G-20	246338214208
AUS	G-7	73921294558
AUS	GBR	2070538095
AUS	GRC	34379127
AUS	HUN	30175882
AUS	IDN	7681800542
AUS	IND	19675295217
AUS	IRL	116985748
AUS	ISL	258784429
AUS	ISR	164710424
AUS	ITA	870317646
AUS	JPN	52465418720
AUS	KOR	24884210381
AUS	LTU	11219730
AUS	LUX	982542
AUS	LVA	46380405
AUS	MEX	344655662
AUS	NLD	5582949557
AUS	NOR	74135253
AUS	NZL	8795944709
AUS	OECD	122883259169
AUS	POL	1030369700
AUS	PRT	21829180
AUS	RUS	155598679
AUS	SAU	1483756750
AUS	SVK	3016247
AUS	SVN	137178410
AUS	SWE	648472849
AUS	TUR	1028209390
AUS	USA	12374120516
AUS	WLD	410765466061
AUS	ZAF	1229250045
AUT	ARG	170039091
AUT	AUS	1306847970
AUT	BEL	3213330618
AUT	BRA	1180690155
AUT	CAN	1791465598
AUT	CHE	10925676577
AUT	CHL	273140042
AUT	CHN	5456210113
AUT	COL	139019730
AUT	CRI	24081919
AUT	CZE	7365655704
AUT	DEU	61502534371
AUT	DNK	1156703847
AUT	ESP	3114141779
AUT	EST	211870365
AUT	FIN	924931081
AUT	FRA	8225979913
AUT	G-20	185939274119
AUT	G-7	105930009313
AUT	GBR	5377183988
AUT	GRC	772373657
AUT	HUN	8099849684
AUT	IDN	264519447
AUT	IND	1247874770
AUT	IRL	504978677
AUT	ISL	58981744
AUT	ISR	585906197
AUT	ITA	13965835417
AUT	JPN	1773921530
AUT	KOR	1844286068
AUT	LTU	436636906
AUT	LUX	236275051
AUT	LVA	216377084
AUT	MEX	1764138131
AUT	NLD	3966864080
AUT	NOR	664443202
AUT	NZL	225496138
AUT	OECD	179794974075
AUT	POL	8082792823
AUT	PRT	559332583
AUT	RUS	1947122201
AUT	SAU	517279166
AUT	SVK	8047895297
AUT	SVN	5076984590
AUT	SWE	2164436179
AUT	TUR	1901517039
AUT	USA	13293088496
AUT	WLD	210132516614
AUT	ZAF	713101407
BEL	ARG	552506343
BEL	AUS	1877705333
BEL	AUT	3572422448
BEL	BRA	3023625832
BEL	CAN	3042584673
BEL	CHE	5597376869
BEL	CHL	623740903
BEL	CHN	6360773338
BEL	COL	479454333
BEL	CRI	110172673
BEL	CZE	3920281247
BEL	DEU	93109365265
BEL	DNK	3065343229
BEL	ESP	11757658836
BEL	EST	433903386
BEL	FIN	1834548005
