from	to	amount
AUS	ARG	140306132
AUS	AUT	71483059
AUS	BEL	1434062444
AUS	BRA	834266085
AUS	CAN	1374379463
AUS	CHE	685729357
AUS	CHL	449823735
AUS	CHN	73943562502
AUS	COL	29171049
AUS	CRI	4095224
AUS	CZE	108516181
AUS	DEU	1678758213
AUS	DNK	149572802
AUS	ESP	487054437
AUS	EST	7791022
AUS	FIN	124116206
AUS	FRA	920409007
AUS	G-20	177675388582
AUS	G-7	55958342609
AUS	GBR	6621229282
AUS	GRC	26746666
AUS	HUN	12091800
AUS	IDN	4486715037
AUS	IND	12469749415
AUS	IRL	80109612
AUS	ISL	3662585
AUS	ISR	219241487
AUS	ITA	806268526
AUS	JPN	36641054073
AUS	KOR	19697178042
AUS	LTU	6609663
AUS	LUX	1829882
AUS	LVA	8536076
AUS	MEX	879431904
AUS	NLD	2489785012
AUS	NOR	52813584
AUS	NZL	7403001182
AUS	OECD	91518293261
AUS	POL	65118366
AUS	PRT	9135830
AUS	RUS	436772030
AUS	SAU	1410692665
AUS	SVK	2657697
AUS	SVN	8461435
AUS	SWE	356504109
AUS	TUR	685620204
AUS	USA	7916244045
AUS	WLD	261670398715
AUS	ZAF	1128530660
AUT	ARG	240723824
AUT	AUS	969065078
AUT	BEL	2275546468
AUT	BRA	1362693091
AUT	CAN	1030474014
AUT	CHE	8730039620
AUT	CHL	188615081
AUT	CHN	3476216344
AUT	COL	158528530
AUT	CRI	19949589
AUT	CZE	5714635663
AUT	DEU	49378871592
AUT	DNK	872799817
AUT	ESP	2413336369
AUT	EST	151826434
AUT	FIN	654309329
AUT	FRA	7167178227
AUT	G-20	140347803303
AUT	G-7	81828455545
AUT	GBR	4460631678
AUT	GRC	507171448
AUT	HUN	4813150153
AUT	IDN	337415273
AUT	IND	765399096
AUT	IRL	363788255
AUT	ISL	19972063
AUT	ISR	287274086
AUT	ITA	10279992753
AUT	JPN	1492600001
AUT	KOR	1169040656
AUT	LTU	224606497
AUT	LUX	244109448
AUT	LVA	184847311
AUT	MEX	614766788
AUT	NLD	2492871821
AUT	NOR	684772941
AUT	NZL	101218251
AUT	OECD	132714133248
AUT	POL	4593015776
AUT	PRT	383437900
AUT	RUS	5211783322
AUT	SAU	738764223
AUT	SVK	5943587388
AUT	SVN	2823885567
AUT	SWE	1705381961
AUT	TUR	1580127415
AUT	USA	8018707280
AUT	WLD	166151115535
AUT	ZAF	684866257
BEL	ARG	403356100
BEL	AUS	1338112263
BEL	AUT	2911517864
BEL	BRA	2479448040
BEL	CAN	1671622848
BEL	CHE	5691093016
BEL	CHL	404413286
BEL	CHN	7411091807
BEL	COL	258344161
BEL	CRI	33467385
BEL	CZE	2437917688
BEL	DEU	49924489578
BEL	DNK	2211744955
BEL	ESP	7204347103
BEL	EST	311637183
BEL	FIN	1672939432
BEL	FRA	47484400917
BEL	G-20	266822146545
BEL	G-7	147746924106
BEL	GBR	20642762401
BEL	GRC	1037594746
BEL	HUN	1288280254
BEL	IDN	460228237
BEL	IND	9813134754
BEL	IRL	1399475127
BEL	ISL	51905073
BEL	ISR	2370833250
BEL	ITA	11244333489
BEL	JPN	2323660410
BEL	KOR	1650811194
BEL	LTU	751075058
BEL	LUX	7163943812
BEL	LVA	264061760
BEL	MEX	1004799587
BEL	NLD	40372206376
BEL	NOR	1456176521
BEL	NZL	173045076
BEL	OECD	247641550508
BEL	POL	5165759584
BEL	PRT	1297790190
BEL	RUS	4415813890
BEL	SAU	1391653979
BEL	SVK	879647490
BEL	SVN	436452163
BEL	SWE	4476967083
BEL	TUR	4178267722
BEL	USA	14455654463
BEL	WLD	305196796911
BEL	ZAF	1341135968
BRA	ARG	17986736999
BRA	AUS	504065518
BRA	AUT	227866511
BRA	BEL	3734958808
BRA	CAN	3078221157
BRA	CHE	1706154629
BRA	CHL	4601414246
BRA	CHN	41225811420
BRA	COL	2820837912
BRA	CRI	448140065
BRA	CZE	54330695
BRA	DEU	7274547267
BRA	DNK	446639194
BRA	ESP	3688113242
